Description,TotalSalesDollars,ProfitMargin,IsTargetBrand,LowSalesThreshold,HighMarginThreshold
44* North Huckleberry Vodka,1057.03,12.87664493912187,False,560.146,64.9299097086893
44* North Magic Valley Vodka,1349.4,53.846153846153854,False,560.146,64.9299097086893
900 Grapes Svgn Bl,59.94,32.43243243243243,False,560.146,64.9299097086893
99 Apples Schnapps Liqueur,46523.37,43.097952706349524,False,560.146,64.9299097086893
99 Bananas,70779.07,44.6236860699074,False,560.146,64.9299097086893
99 Blackberries,16537.95,9.834653025314507,False,560.146,64.9299097086893
A Bichot Adelie Mercury,815.76,72.03834461116014,False,560.146,64.9299097086893
A Bichot Ch Gris Nuits St Ge,648.89,93.73083265268383,False,560.146,64.9299097086893
A Bichot Chablis Long Depaqt,13133.609999999999,25.219646388159845,False,560.146,64.9299097086893
A Bichot Chablis Vaucopins,1623.44,96.33001527620362,False,560.146,64.9299097086893
A Bichot Chard Bourgogne,7452.23,19.433646036152936,False,560.146,64.9299097086893
A Bichot Clos Marechaudes,539.94,67.74086009556618,True,560.146,64.9299097086893
A Bichot Cremant Brut Rose,3402.2699999999995,15.983740267527255,False,560.146,64.9299097086893
A Bichot Merc Champs M,515.88,94.5529968209661,True,560.146,64.9299097086893
A Bichot Morgon Les Charmes,9209.119999999999,84.25701912886356,False,560.146,64.9299097086893
A Bichot Petit Chablis,8693.33,33.815350389321466,False,560.146,64.9299097086893
A Bichot Pnt Nr Bourgogne,13745.23,36.545259701001726,False,560.146,64.9299097086893
A Bichot Pouilly-Fuisse,11751.31,31.171077947905378,False,560.146,64.9299097086893
A Bichot St-Amour Champlette,6804.389999999999,76.68813809908016,False,560.146,64.9299097086893
A Innocenti Nonni Cab Svgn,623.52,17.72517321016166,False,560.146,64.9299097086893
A Proper Pink,4442.58,29.561200923787524,False,560.146,64.9299097086893
A by Acacia Chard Cal,30677.23,30.033057091530107,False,560.146,64.9299097086893
A by Acacia Pnt Nr Cal,47345.5,34.61215955053806,False,560.146,64.9299097086893
A by Acacia Red Cal,143.88,45.204336947456206,False,560.146,64.9299097086893
A by Acacia Unoaked Chard Ca,31888.61,32.17731973892872,False,560.146,64.9299097086893
A to Z Ore Chard,51823.43,14.612907713750332,False,560.146,64.9299097086893
A to Z Pnt Gris Ore,121242.67,13.85659850612,False,560.146,64.9299097086893
A to Z Pnt Nr Ore,224192.78,17.170860720849255,False,560.146,64.9299097086893
A to Z Rose,798.53,14.342604535834594,False,560.146,64.9299097086893
A to Z Rsl,1002.41,33.313713949381984,False,560.146,64.9299097086893
Aalto Ribera Del Duero Red,49.99,32.42648529705941,False,560.146,64.9299097086893
Aberfeldy 12 Yr Single Malt,42761.19,8.60539662249812,False,560.146,64.9299097086893
Aberfeldy 21 Yr Single Malt,2879.82,43.22839621920815,False,560.146,64.9299097086893
Aberfeldy Single Cask,9459.62,11.204678412029235,False,560.146,64.9299097086893
Aberlour 16 Year Old Single,103249.72,27.23181234777199,False,560.146,64.9299097086893
Aberlour A'Bunadh Sngle Malt,63976.259999999995,23.45801395705218,False,560.146,64.9299097086893
Aberlour Glenlivet 12 Yr,143989.54,27.95076642372773,False,560.146,64.9299097086893
Absente  Glass & Spoon Pack,11498.41,6.100582602290224,False,560.146,64.9299097086893
Absente 'Absinthe Refined',61679.12,27.0172466792652,False,560.146,64.9299097086893
Absinthe Ordinaire,44666.75,29.051027889873343,False,560.146,64.9299097086893
Absolut 80 Proof,6244752.029999999,27.051973257161897,False,560.146,64.9299097086893
Absolut Apeach,80236.70999999999,25.304973301091664,False,560.146,64.9299097086893
Absolut Berri Acai,45821.0,35.18692302655987,False,560.146,64.9299097086893
Absolut Cilantro,4164.72,42.73516586949423,False,560.146,64.9299097086893
Absolut Citron,1028260.25,26.35369406634723,False,560.146,64.9299097086893
Absolut Elyx,674.85,17.94324664740313,False,560.146,64.9299097086893
Absolut Grapevine Vodka,5672.1,82.4375451772712,False,560.146,64.9299097086893
Absolut Hibiskus,153.93,27.557980900409284,False,560.146,64.9299097086893
Absolut Mandrin,314932.26,27.772339878782617,False,560.146,64.9299097086893
Absolut Mini Bar 5/50mls,123563.28,29.641168476589492,False,560.146,64.9299097086893
Absolut Orient Apple Vodka,119.93999999999998,87.65215941303985,True,560.146,64.9299097086893
Absolut Pears,109752.69,44.785359624231255,False,560.146,64.9299097086893
Absolut Peppar,77049.45,26.142496799133536,False,560.146,64.9299097086893
Absolut Peppar Vodka,239.88,19.739036184759044,False,560.146,64.9299097086893
Absolut Raspberri,128021.57999999999,20.68979663258903,False,560.146,64.9299097086893
Absolut Ruby Red,299239.06999999995,23.568918236201124,False,560.146,64.9299097086893
Absolut Spark Vodka,24800.019999999997,88.7516219744984,False,560.146,64.9299097086893
Absolut Vanilia,140681.87999999998,24.953165208965263,False,560.146,64.9299097086893
Absolut Wild Tea,901.8800000000001,83.9280170310906,False,560.146,64.9299097086893
Acacia Winery Pnt Nr Carnero,447.84,3.499017506252237,False,560.146,64.9299097086893
Achaval Ferrer Cab Svgn,229.89999999999998,15.010874293170929,False,560.146,64.9299097086893
Achaval Ferrer Malbec,41945.51,31.219432067937667,False,560.146,64.9299097086893
Achaval Ferrer Quimera,29358.23,33.005532009252605,False,560.146,64.9299097086893
Acorn Alegria Vyds Cab Franc,2944.94,52.1660882734453,False,560.146,64.9299097086893
Acorn Cve Alegria Russ Syrah,2780.0099999999998,66.74472393984195,False,560.146,64.9299097086893
Acorn Dolcetto Alegria RRV,3023.0099999999998,57.297527960542624,False,560.146,64.9299097086893
Acorn Medley Alegria RRV,1934.25,85.08517513248029,False,560.146,64.9299097086893
Acorn Sangiovese Alegria RRV,8434.98,32.769965074013214,False,560.146,64.9299097086893
Acquese Moscato D'Asti Dolc,14795.66,29.584148324576258,False,560.146,64.9299097086893
Acrobat King Est Rose Pnt Nr,31785.280000000002,41.996169295976,False,560.146,64.9299097086893
Acrobat Pnt Gris Oregon,110585.18,21.702202772559577,False,560.146,64.9299097086893
Acumen Moutainside Red Napa,114829.05,50.564382445034596,False,560.146,64.9299097086893
Adaption by Odette Chard,3294.97,81.47327593270954,False,560.146,64.9299097086893
Adelsheim Auxerrois Ribbon S,901.5899999999999,78.57340919930344,False,560.146,64.9299097086893
Adelsheim Bryan Creek Pnt Nr,2449.65,77.14285714285714,False,560.146,64.9299097086893
Adelsheim Caitlins Rsv Chard,1639.5900000000001,61.98561835580847,False,560.146,64.9299097086893
Adelsheim Chard Willmete Vly,1813.2399999999998,45.520725331450876,False,560.146,64.9299097086893
Adelsheim Elizbth RSV Pnt Nr,2561.45,64.866384274532,False,560.146,64.9299097086893
Adelsheim Pnt Gris Ore,12788.15,24.18825240554732,False,560.146,64.9299097086893
Adelsheim Pnt Nr Ore,33531.43,17.354672914337385,False,560.146,64.9299097086893
Adissat Cotes du Rhone,1244.17,89.62440824003151,False,560.146,64.9299097086893
Adissat Gabrielle Ch du Pape,639.84,74.8312078019505,False,560.146,64.9299097086893
Adissat Lirac,6176.91,80.20126568138438,False,560.146,64.9299097086893
Admiral Nelson Egg Nog,450.31,79.38753303279962,True,560.146,64.9299097086893
Admiral Nelson Spiced Rum,122358.39,25.888335078616187,False,560.146,64.9299097086893
After Shock Hot & Cool Cinmn,87915.35,19.91642883275214,False,560.146,64.9299097086893
Agave Loco Pepper Cured Teq,15159.74,45.24807153684694,False,560.146,64.9299097086893
Agave Underground Tequila,24975.95,20.483024669732288,False,560.146,64.9299097086893
Agavero Orange Liqueur Agave,1209.45,40.305924180412596,False,560.146,64.9299097086893
Agavero Tequila Liqueur,805.69,13.161389616353695,False,560.146,64.9299097086893
Agua de Piedra Malbec Selccn,134120.52,44.15221473940005,False,560.146,64.9299097086893
Agua de Piedra Malbec Selecn,707.16,37.99423044289835,False,560.146,64.9299097086893
Aguardiente Cristal Liqueur,1415.9099999999999,16.977774011060017,False,560.146,64.9299097086893
Alabaster 07 Tinta de Toro,674.95,86.39454774427735,False,560.146,64.9299097086893
Alain Lorieux Chinon Express,485.73,59.68130442838614,False,560.146,64.9299097086893
Alamos Red Mendoza,25449.13,48.948824576714415,False,560.146,64.9299097086893
Alamos Ridge Cab Svgn Mendza,50651.64,46.63242888088124,False,560.146,64.9299097086893
Alamos Ridge Chard Mendoza,30135.94,44.74132879213325,False,560.146,64.9299097086893
Alamos Ridge Malbec Mendoza,382832.11,44.953402680877524,False,560.146,64.9299097086893
Alamos Slcn Malbec Mendoza,62768.16,37.7460164516532,False,560.146,64.9299097086893
Alamos Torrontes,31632.47,53.56331642770862,False,560.146,64.9299097086893
Alate Kosher Wine,7967.74,40.531443044075225,False,560.146,64.9299097086893
Albero Sparkling Wh Organic,5.79,28.497409326424876,False,560.146,64.9299097086893
Albert I Noya Xarello Clsc,911.3399999999999,35.5191256830601,False,560.146,64.9299097086893
